	sequences per sample	iteration	PE6	PE5	CL4	MD4	KP4	SV1	SF1	AR3	LQ2
alpha_rarefaction_316_5.txt	316	5	284.090909091	178.5625	178.545454545	84.6	233.25	81.5555555556	110.0	112.714285714	54.4615384615
alpha_rarefaction_316_6.txt	316	6	191.0	157.368421053	249.4	85.0909090909	212.4	85.6470588235	98.2	119.3125	53.5714285714
alpha_rarefaction_316_7.txt	316	7	251.583333333	147.8125	173.75	92.5	220.464285714	90.8947368421	126.909090909	117.666666667	58.0909090909
alpha_rarefaction_316_8.txt	316	8	218.0	130.625	151.0	76.0	234.37037037	86.1176470588	145.0	112.1875	57.0769230769
alpha_rarefaction_316_9.txt	316	9	196.071428571	232.0	170.545454545	82.3	257.5	121.8	140.545454545	111.615384615	54.75
alpha_rarefaction_350_0.txt	350	0	209.5	130.055555556	188.0	71.25	267.483870968	117.666666667	141.1	113.055555556	53.8666666667
alpha_rarefaction_350_1.txt	350	1	261.3125	166.5625	174.807692308	75.3529411765	255.0	112.2	126.333333333	163.666666667	53.8666666667
alpha_rarefaction_350_2.txt	350	2	215.375	178.142857143	147.837837838	84.0	208.15	85.3333333333	133.0	105.391304348	52.4
alpha_rarefaction_350_3.txt	350	3	232.555555556	198.0	143.129032258	74.5	261.7	93.8947368421	111.0	163.0	54.5714285714
alpha_rarefaction_350_4.txt	350	4	216.0	155.235294118	133.25	83.0769230769	284.206896552	118.5	151.0	129.928571429	53.8666666667
alpha_rarefaction_350_5.txt	350	5	364.5	136.166666667	147.724137931	68.2142857143	265.034482759	97.5555555556	147.25	137.117647059	53.8666666667
alpha_rarefaction_350_6.txt	350	6	259.0	173.214285714	156.125	65.5	216.285714286	84.7727272727	114.4	114.0	53.75
alpha_rarefaction_350_7.txt	350	7	181.866666667	210.214285714	195.882352941	66.7142857143	243.129032258	101.0	161.111111111	118.352941176	54.5714285714
alpha_rarefaction_350_8.txt	350	8	143.473684211	202.666666667	185.476190476	61.7142857143	276.12	95.7142857143	89.5	99.8947368421	53.8666666667
alpha_rarefaction_350_9.txt	350	9	168.6875	164.0	177.869565217	93.1428571429	249.757575758	91.5	94.0	112.315789474	53.8666666667
